GEO_UID,Province_Name,Subdivision_Name,Geographic_Type,GNR_SF,GNR_LF,Data_Quality_Flag
2016A00051001101,Newfoundland and Labrador,"Division No.  1, Subd. V",Subdivision of unorganized,10.1,5.2,09999
2016A00051001105,Newfoundland and Labrador,Portugal Cove South,Town,1.7,4.0,00909
2016A00051001113,Newfoundland and Labrador,Trepassey,Town,4.5,5.3,00000
2016A00051001120,Newfoundland and Labrador,St. Shott's,Town,2.5,0.0,00909
2016A00051001124,Newfoundland and Labrador,"Division No.  1, Subd. U",Subdivision of unorganized,4.9,8.3,00000
2016A00051001126,Newfoundland and Labrador,Cape Broyle,Town,2.6,9.6,00000
2016A00051001131,Newfoundland and Labrador,Renews-Cappahayden,Town,4.6,3.5,00000
2016A00051001136,Newfoundland and Labrador,Fermeuse,Town,10.5,13.6,01111
2016A00051001140,Newfoundland and Labrador,Port Kirwan,Town,1.5,0.0,00909
2016A00051001144,Newfoundland and Labrador,Aquaforte,Town,2.5,11.8,00919
2016A00051001149,Newfoundland and Labrador,Ferryland,Town,3.3,5.4,00000
2016A00051001155,Newfoundland and Labrador,"Division No.  1, Subd. W",Subdivision of unorganized,4.0,8.3,00000
2016A00051001169,Newfoundland and Labrador,St. Vincent's-St. Stephen's-Peter's River,Town,4.0,5.6,00000
2016A00051001174,Newfoundland and Labrador,Gaskiers-Point La Haye,Town,3.0,4.4,00909
2016A00051001178,Newfoundland and Labrador,St. Mary's,Town,4.3,5.0,00000
2016A00051001181,Newfoundland and Labrador,Riverhead,Town,3.0,10.4,00919
2016A00051001186,Newfoundland and Labrador,Admirals Beach,Town,3.5,1.4,00909
2016A00051001192,Newfoundland and Labrador,St. Joseph's,Town,7.2,10.0,00919
2016A00051001197,Newfoundland and Labrador,Mount Carmel-Mitchells Brook-St. Catherine's,Town,5.4,7.9,00000
2016A00051001203,Newfoundland and Labrador,"Division No.  1, Subd. X",Subdivision of unorganized,3.2,7.9,00000
2016A00051001207,Newfoundland and Labrador,Colinet,Town,10.2,17.8,01919
2016A00051001214,Newfoundland and Labrador,"Division No.  1, Subd. C",Subdivision of unorganized,4.3,16.8,00919
2016A00051001219,Newfoundland and Labrador,Branch,Town,2.3,6.9,00909
2016A00051001225,Newfoundland and Labrador,Point Lance,Town,5.0,7.7,00909
2016A00051001228,Newfoundland and Labrador,St. Bride's,Town,7.7,17.2,00919
2016A00051001234,Newfoundland and Labrador,"Division No.  1, Subd. B",Subdivision of unorganized,5.9,18.3,00011
2016A00051001240,Newfoundland and Labrador,Placentia,Town,6.2,10.3,00011
2016A00051001254,Newfoundland and Labrador,Fox Harbour,Town,2.6,10.5,00019
2016A00051001259,Newfoundland and Labrador,"Division No.  1, Subd. A",Subdivision of unorganized,4.6,8.8,00000
2016A00051001263,Newfoundland and Labrador,Long Harbour-Mount Arlington Heights,Town,3.0,4.3,00909
2016A00051001267,Newfoundland and Labrador,Southern Harbour,Town,3.3,11.7,00010
2016A00051001270,Newfoundland and Labrador,Arnold's Cove,Town,3.7,10.5,00010
2016A00051001274,Newfoundland and Labrador,Come By Chance,Town,6.6,13.6,00919
2016A00051001277,Newfoundland and Labrador,Sunnyside,Town,3.2,15.1,00011
2016A00051001281,Newfoundland and Labrador,Chance Cove,Town,1.8,10.6,00011
2016A00051001285,Newfoundland and Labrador,Norman's Cove-Long Cove,Town,2.1,11.0,00010
2016A00051001289,Newfoundland and Labrador,Chapel Arm,Town,1.8,8.8,00000
2016A00051001293,Newfoundland and Labrador,"Division No.  1, Subd. Y",Subdivision of unorganized,2.4,10.2,00011
2016A00051001298,Newfoundland and Labrador,Whitbourne,Town,3.0,10.0,00011
2016A00051001304,Newfoundland and Labrador,"Division No.  1, Subd. E",Subdivision of unorganized,3.4,10.2,00011
2016A00051001308,Newfoundland and Labrador,Whiteway,Town,3.8,9.8,00000
2016A00051001312,Newfoundland and Labrador,Heart's Delight-Islington,Town,3.8,7.5,00000
2016A00051001316,Newfoundland and Labrador,Heart's Desire,Town,5.1,5.0,00909
2016A00051001321,Newfoundland and Labrador,"Division No.  1, Subd. F",Subdivision of unorganized,4.3,10.2,00010
2016A00051001325,Newfoundland and Labrador,Heart's Content,Town,2.7,6.6,00000
2016A00051001328,Newfoundland and Labrador,New Perlican,Town,2.8,12.9,00919
2016A00051001332,Newfoundland and Labrador,Winterton,Town,4.6,10.6,00010
2016A00051001335,Newfoundland and Labrador,Hant's Harbour,Town,2.8,4.8,00000
2016A00051001339,Newfoundland and Labrador,"Division No.  1, Subd. G",Subdivision of unorganized,3.4,11.6,00011
2016A00051001343,Newfoundland and Labrador,Old Perlican,Town,8.8,10.5,00110
2016A00051001347,Newfoundland and Labrador,Bay de Verde,Town,4.4,8.7,00000
2016A00051001352,Newfoundland and Labrador,Small Point-Adam's Cove-Blackhead-Broad Cove,Town,5.5,13.6,00011
2016A00051001357,Newfoundland and Labrador,"Division No.  1, Subd. H",Subdivision of unorganized,4.3,12.1,00010
2016A00051001361,Newfoundland and Labrador,Salmon Cove,Town,5.9,15.3,00011
2016A00051001365,Newfoundland and Labrador,Victoria,Town,3.2,9.5,00000
2016A00051001370,Newfoundland and Labrador,Carbonear,Town,6.2,10.3,00011
2016A00051001374,Newfoundland and Labrador,"Division No.  1, Subd. I",Subdivision of unorganized,2.4,13.9,00011
2016A00051001375,Newfoundland and Labrador,Bryant's Cove,Town,2.7,8.3,00001
2016A00051001379,Newfoundland and Labrador,Harbour Grace,Town,3.1,9.5,00000
2016A00051001385,Newfoundland and Labrador,Upper Island Cove,Town,3.0,8.7,00000
2016A00051001391,Newfoundland and Labrador,"Division No.  1, Subd. J",Subdivision of unorganized,0.0,0.0,09999
2016A00051001394,Newfoundland and Labrador,Bishop's Cove,Town,8.3,6.0,00101
2016A00051001396,Newfoundland and Labrador,Spaniard's Bay,Town,3.8,9.4,00000
2016A00051001405,Newfoundland and Labrador,"Division No.  1, Subd. K",Subdivision of unorganized,15.5,39.1,09999
2016A00051001409,Newfoundland and Labrador,Bay Roberts,Town,3.2,7.6,00000
2016A00051001415,Newfoundland and Labrador,"Division No.  1, Subd. L",Subdivision of unorganized,2.1,4.1,00000
2016A00051001421,Newfoundland and Labrador,"Division No.  1, Subd. M",Subdivision of unorganized,4.2,9.6,00000
2016A00051001426,Newfoundland and Labrador,North River,Town,3.6,9.2,00000
2016A00051001429,Newfoundland and Labrador,Clarke's Beach,Town,11.3,6.2,01100
2016A00051001434,Newfoundland and Labrador,South River,Town,4.4,6.1,00000
2016A00051001437,Newfoundland and Labrador,Cupids,Town,3.5,4.1,00000
2016A00051001441,Newfoundland and Labrador,"Division No.  1, Subd. N",Subdivision of unorganized,4.1,10.5,00010
2016A00051001446,Newfoundland and Labrador,Brigus,Town,4.1,7.3,00000
2016A00051001452,Newfoundland and Labrador,"Division No.  1, Subd. O",Subdivision of unorganized,5.4,14.1,00011
2016A00051001456,Newfoundland and Labrador,Colliers,Town,3.1,10.1,00010
2016A00051001461,Newfoundland and Labrador,Conception Harbour,Town,3.0,7.4,00000
2016A00051001464,Newfoundland and Labrador,Avondale,Town,4.7,7.8,00001
2016A00051001469,Newfoundland and Labrador,Harbour Main-Chapel's Cove-Lakeview,Town,2.9,8.5,00000
2016A00051001472,Newfoundland and Labrador,Holyrood,Town,4.5,9.0,00000
2016A00051001485,Newfoundland and Labrador,Conception Bay South,Town,2.5,3.9,00000
2016A00051001490,Newfoundland and Labrador,"Division No.  1, Subd. R",Subdivision of unorganized,6.9,21.3,00021
2016A00051001494,Newfoundland and Labrador,Wabana,Town,4.9,12.6,00010
2016A00051001504,Newfoundland and Labrador,Portugal Cove-St. Philip's,Town,3.0,3.7,00000
2016A00051001505,Newfoundland and Labrador,Pouch Cove,Town,3.0,8.3,00000
2016A00051001507,Newfoundland and Labrador,Flatrock,Town,3.1,4.7,00000
2016A00051001509,Newfoundland and Labrador,Torbay,Town,2.6,4.9,00000
2016A00051001511,Newfoundland and Labrador,Logy Bay-Middle Cove-Outer Cove,Town,2.6,3.5,00000
2016A00051001512,Newfoundland and Labrador,Bauline,Town,3.1,3.8,00000
2016A00051001517,Newfoundland and Labrador,Paradise,Town,2.9,4.6,00000
2016A00051001519,Newfoundland and Labrador,St. John's,City,4.0,5.8,00000
2016A00051001542,Newfoundland and Labrador,Mount Pearl,City,3.2,4.4,00000
